No,Species,Common Name,Season,Size,Habitat,Altitude,Family,Sub-family,Tribe,Genus,Image,Photographer
1,Bhutanitis lidderdalii,Bhutan Glory,Aug-Oct,90-110,Hill forests,2000-3000,Papilionidae,Parnassiinae,Zerynthiini,Bhutanitis,IMG_6425.jpg,Hibu Tama
2,Atrophaneura aidoneus,Lesser Batwing,Mar-Nov,88-136,Forests,upto 2130,Papilionidae,Papilioninae,Troidini,Atrophaneura,Common_Batwing-14_e.jpg,Hibu Tama
3,Atrophaneura varuna,Common Batwing,Mar-Nov,88-136,forest,upto 2130,Papilionidae,Papilioninae,Troidini,Atrophaneura,1744687759_P1060667.JPG,Monsoon Jyoti Gogoi
4,Byasa polyeuctes,Common Windmill,Mar-Nov,110-140,Forests,150-3600,Papilionidae,Papilioninae,Troidini,Byasa,IMG_20190513_002807.jpg,Punyo Chada
5,Troides helena,Common Birdwing,Mar-Nov,140-170,forest,below 1500,Papilionidae,Papilioninae,Troidini,Troides,1744190577_Common birdwing.jpg,Punyo Chada
6,Graphium sarpedon,Common Bluebottle,Jan-Dec,80-90,Forests,upto 2740,Papilionidae,Papilioninae,Leptocircini,Graphium,DSCN0308.jpg,Punyo Chada
7,Graphium cloanthus,Glassy Bluebottle,Mar-Nov,82-95,Hill forests,1800-2745,Papilionidae,Papilioninae,Leptocircini,Graphium,1744174862_37126720.jpg,Rohit George
8,Graphium agamemnon,Tailed Jay,Jan-Dec,85-100,Forests & gardens,upto 1800,Papilionidae,Papilioninae,Leptocircini,Graphium,Tailed_Jay-40.jpg,Hibu Tatu
9,Graphium chironides,Veined Jay,Mar-Aug,75-100,Forests,400-1700,Papilionidae,Papilioninae,Leptocircini,Graphium,DSC_1393_e.jpg,Punyo Chada
10,Graphium eurous,Sixbar Swordtail,Mar-May,60-70,Hill forests,1000-2800,Papilionidae,Papilioninae,Leptocircini,Graphium,Sixbar_Swordtail-2.jpg,Hibu Tatu
11,Graphium agetes,Fourbar Swordtail,Mar-Jun,75-90,Hill forests,900-1200,Papilionidae,Papilioninae,Leptocircini,Graphium,DSC_7302_e.jpg,Punyo Chada
12,Graphium eurypylus,Great Jay,Mar-Sep,75-100,forest,upto 1525,Papilionidae,Papilioninae,Leptocircini,Graphium,1743499496_DSC_2333_s.JPG,Punyo Chada
13,Lamproptera curius,White Dragontail,Mar-Nov,40-50,Forests,Low elevations,Papilionidae,Papilioninae,no_tribe,Lamproptera,1743575907_DSC_2325.JPG,Punyo Chada
14,Papilio memnon,Great Mormon,Mar-Nov,120-150,Forest Edges,upto 2100,Papilionidae,Papilioninae,no_tribe,Papilio,DSC_5647.jpg,Hibu Tatu
15,Papilio helenus,Red Helen,Mar-Nov,110-130,Forests,upto 2100,Papilionidae,Papilioninae,Papilionini,Papilio,1743576417_Red Helen R7__7867_s.jpg,Atanu Bose
16,Papilio protenor,Spangle,Mar-Nov,100-130,Forests,upto 2600,Papilionidae,Papilioninae,Papilionini,Papilio,1743574388_spangle.jpg,Rohit George
17,Papilio arcturus,Blue Peacock,Mar-Aug,110-130,Hill forests,1525-3350,Papilionidae,Papilioninae,Papilionini,Papilio,1743573718_blue peacock.jpeg,Rohit George
18,Papilio bianor,Common Peacock,Mar-Oct,90-130,Hill forests,200-2250,Papilionidae,Papilioninae,Papilionini,Papilio,IMG_0893_e.jpg,Tater Mize
19,Papilio demoleus,Common Lime,Jan-Dec,80-100,Gardens and farmlands,upto 2130,Papilionidae,Papilioninae,Papilionini,Papilio,Lime_Butterfly.jpg,Mohan Prasath
20,Papilio paris,Paris Peacock,Mar-Nov,90-140,Forests,upto 2135,Papilionidae,Papilioninae,Papilionini,Papilio,DSCN1680.jpg,Punyo Chada
21,Papilio alcmenor,Redbreast,Mar-Oct,110-130,Forests,300-2100,Papilionidae,Papilioninae,Papilionini,Papilio,Red_Breast.jpg,Mohan Prasath
22,Papilio nephelus,Yellow Helen,Feb-Nov,115-130,Forests,Low elevations,Papilionidae,Papilioninae,Papilionini,Papilio,Yellow_Helen1.jpg,Mohan Prasath
23,Papilio paradoxa,Great Blue Mime,Mar-Oct,120-150,Forests,Low elevations,Papilionidae,Papilioninae,Papilionini,Papilio,"1744628731_Papilio paradoxa (Barail WLS, Assam) 26.3.2016-ADJ.jpeg",Monsoon Jyoti Gogoi
24,Papilio clytia,Common Mime,Mar-Dec,90-100,Forests & gardens,upto 2500,Papilionidae,Papilioninae,Papilionini,Papilio,1743680071_butterflies 001 (87)_ee.JPG,Punyo Chada
25,Papilio polytes,Common Mormon,Jan-Dec,90-100,Forest clearings & grasslands,upto 1830,Papilionidae,Papilioninae,Papilionini,Papilio,Common_Mormon_e.jpg,Mohan Prasath
26,Papilio epycides,Lesser Mime,Mar-May,70-90,Forests,450-1200,Papilionidae,Papilioninae,Papilionini,Papilio,IMG_20190513_002455.jpg,Punyo Chada
27,Papilio krishna,Krishna Peacock,Apr-Nov,120-130,hill forest,900-3000,Papilionidae,Papilioninae,Papilionini,Papilio,1743579147_krishna peacock 1.jpeg,Punyo Chada
28,Meandrusa lachinus,Brown Gorgon,Apr-Oct,105-115,Hill forests,1000-2600,Papilionidae,Papilioninae,Teinopalpini,Meandrusa,1743502037_WhatsApp Image 2025-04-01 at 15.36.20.jpeg,Punyo Chada
29,Teinopalpus imperialis,Kaiser-i-Hind,Apr-Jul,90-120,Forests,1830-3050,Papilionidae,Papilioninae,Teinopalpini,Teinopalpus,1743570752_kaiser.jpeg,Punyo Chada
30,Rohana parisatis,Black Prince,Mar-Nov,45-50,Hill forests,600-1800,Nymphalidae,Apaturinae,Apaturini,Rohana,IMG-20181007-WA0038.jpg,Punyo Chada
31,Rohana parvata,Brown Prince,May-Nov,50-60,Hill forests,350-1500,Nymphalidae,Apaturinae,Apaturini,Rohana,"Black_Prince,_Rohana_parisatis_parisatis(F).jpg",Punyo Chada
32,Sephisa chandra,Eastern Courtier,Apr-Nov,75-90,Hill forests,790-1760,Nymphalidae,Apaturinae,Apaturini,Sephisa,1743576778_DSC_7422_s.jpg,Koj Mama
33,Hestinalis nama,Circe,Feb-Nov,95-105,Forests,400-2200,Nymphalidae,Apaturinae,Apaturini,Hestinalis,1743671689_circe_e.jpeg,Rohit George
34,Kaniska canace,Blue Admiral,Mar-Dec,60-75,Hill forests,1000-3000,Nymphalidae,Nymphalinae,Nymphalini,Kaniska,DSCN8941_e.jpg,Punyo Chada
35,Symbrenthia lilaea,Common Jester,Jan-Dec,45-55,Forests,300-1700,Nymphalidae,Nymphalinae,Nymphalini,Symbrenthia,"Great_Yellow_Sailer,_Neptis_radha.jpg",Punyo Chada
36,Symbrenthia hypselis,Spotted Jester,Mar-Oct,40-55,Hill forests,300-2400,Nymphalidae,Nymphalinae,Nymphalini,Symbrenthia,Jester.jpg,Hibu Tatu
37,Symbrenthia niphanda,Blue-tail Jester,Mar-Nov,50-60,Hill forests,1000-2600,Nymphalidae,Nymphalinae,Nymphalini,Symbrenthia,"Blue-Tail_Jester,_Symbrenthia_niphanda.jpg",Punyo Chada
38,Symbrenthia brabira,Himalayan Jester,Mar-Oct,40-55,forest,1400-1700,Nymphalidae,Nymphalinae,Nymphalini,Symbrenthia,1744107554_P1070978b.JPG,Monsoon Jyoti Gogoi
39,Vanessa indica,Indian Red Admiral,Mar-Oct,55-65,Forests & meadows,400-3900,Nymphalidae,Nymphalinae,Nymphalini,Vanessa,indian_red_admiral.jpg,Punyo Chada
40,Vanessa cardui,Painted Lady,Jan-Dec,55-70,Grasslands and Forests,upto 4500,Nymphalidae,Nymphalinae,Nymphalini,Vanessa,1744176582_36963723.jpg,Anubhav Agarwal
41,Aglais cashmiriensis,Indian Tortoiseshell,Feb-Nov,55-65,Forests & meadows,400-5360,Nymphalidae,Nymphalinae,Nymphalini,Aglais,IMG_20190809_103733.jpg,Punyo Chada
42,Junonia orithya,Blue Pansy,Jan-Dec,45-60,Grasslands and forests,upto 2100,Nymphalidae,Nymphalinae,Junoniini,Junonia,DSC_0820_2.jpg,Rohit George
43,Junonia iphita,Chocolate Pansy,Jan-Dec,55-80,Forests,upto 1900,Nymphalidae,Nymphalinae,Junoniini,Junonia,1-butterflies_001_(37).jpg,Punyo Chada
44,Junonia atlites,Grey Pansy,Jan-Dec,55-65,Forests & farmlands,upto 1300,Nymphalidae,Nymphalinae,Junoniini,Junonia,"Gray_Pansy,_Junonia_atlities.jpg",Punyo Chada
45,Junonia_lemonias,Lemon Pansy,Jan-Dec,40-60,Forests & gardens,upto 2100,Nymphalidae,Nymphalinae,Junoniini,Junonia_lemonias,Lemon_Pansy(Junonia_lemonias).jpg,Punyo Chada
46,Hypolimnas bolina,Great Eggfly,Jan-Dec,70-110,grasslands and forests,upto 2100,Nymphalidae,Nymphalinae,Junoniini,Hypolimnas,1743653844_great eggfly.jpeg,Rohit George
47,Kallima knyvettii,Scarce Blue Oakleaf,May-Nov,95-110,Hill forests,1700-2500,Nymphalidae,Nymphalinae,Kallimini,Kallima,IMG_6162.jpg,Hibu Tama
48,Kallima inachus,Orange Oakleaf,Apr-Nov,85-110,Forests,upto 1800,Nymphalidae,Nymphalinae,Kallimini,Kallima,DSCN9345.jpg,Punyo Chada
49,Doleschallia bisaltide,Autumn Leaf,Jan-Nov,75-85,Forests,upto 1030,Nymphalidae,Nymphalinae,Kallimini,Doleschallia,IMG_1303.jpg,Hibu Tama
50,Parantica sita,Chestnut Tiger,Mar-Dec,85-105,Forests,upto 3000,Nymphalidae,Danainae,Danaini,Parantica,LRM_EXPORT_20180729_095838.jpg,Millo Tako
